log(fluence_n_cm2),wt_percent_Cu,wt_percent_Ni,temperature_C,log(flux_n_cm2_sec),wt_percent_Mn,wt_percent_P,wt_percent_C,wt_percent_Si,Product Form_2,Product Form_5,Product Form_0,Product Form_3,Product Form_4,Product Form_1
19.74663419893758,0.05,0.56,283.8888888888889,11.10107957837157,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.74663419893758,0.05,0.56,283.8888888888889,11.10107957837157,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
18.78532983501077,0.08,0.07,283.8888888888889,11.15618945958039,1.17,0.008,0.1,0.14,0.0,1.0,0.0,0.0,0.0,0.0
19.41830129131975,0.08,0.07,283.8888888888889,11.14134343400073,1.17,0.008,0.1,0.14,0.0,1.0,0.0,0.0,0.0,0.0
19.56584781867352,0.08,0.07,283.8888888888889,11.07360498124054,1.17,0.008,0.1,0.14,0.0,1.0,0.0,0.0,0.0,0.0
19.74663419893758,0.08,0.07,283.8888888888889,11.10107957837157,1.17,0.008,0.1,0.14,0.0,1.0,0.0,0.0,0.0,0.0
17.6085260335772,0.12,0.56,276.6666666666667,9.072006477252463,1.5,0.01,0.23,0.27,1.0,0.0,0.0,0.0,0.0,0.0
18.61172330800734,0.05,0.73,292.2222222222222,11.04103469376585,0.69,0.01,0.21,0.27,0.0,0.0,1.0,0.0,0.0,0.0
19.17318626841227,0.05,0.73,289.4444444444445,10.920796602584,0.69,0.01,0.21,0.27,0.0,0.0,1.0,0.0,0.0,0.0
19.3541084391474,0.05,0.73,290.0,10.88822209806754,0.69,0.01,0.21,0.27,0.0,0.0,1.0,0.0,0.0,0.0
18.61172330800734,0.05,0.73,292.2222222222222,11.04103469376585,0.69,0.01,0.21,0.27,0.0,0.0,1.0,0.0,0.0,0.0
19.17318626841227,0.05,0.73,289.4444444444445,10.920796602584,0.69,0.01,0.21,0.27,0.0,0.0,1.0,0.0,0.0,0.0
19.3541084391474,0.05,0.73,290.0,10.88822209806754,0.69,0.01,0.21,0.27,0.0,0.0,1.0,0.0,0.0,0.0
18.61172330800734,0.026,0.71,292.2222222222222,11.04103469376585,1.48,0.011,0.08,0.57,0.0,1.0,0.0,0.0,0.0,0.0
19.17318626841227,0.026,0.71,289.4444444444445,10.920796602584,1.48,0.011,0.08,0.57,0.0,1.0,0.0,0.0,0.0,0.0
19.3541084391474,0.026,0.71,290.0,10.88822209806754,1.48,0.011,0.08,0.57,0.0,1.0,0.0,0.0,0.0,0.0
18.6085260335772,0.07,0.65,293.3333333333333,11.03417246524929,1.18,0.005,0.18,0.23,0.0,0.0,1.0,0.0,0.0,0.0
19.08278537031645,0.07,0.65,289.4444444444445,10.91466188281497,1.18,0.005,0.18,0.23,0.0,0.0,1.0,0.0,0.0,0.0
19.3384564936046,0.07,0.65,289.4444444444445,10.90363909095403,1.18,0.005,0.18,0.23,0.0,0.0,1.0,0.0,0.0,0.0
18.6085260335772,0.07,0.65,293.3333333333333,11.03417246524929,1.18,0.005,0.18,0.23,0.0,0.0,1.0,0.0,0.0,0.0
19.08278537031645,0.07,0.65,289.4444444444445,10.91466188281497,1.18,0.005,0.18,0.23,0.0,0.0,1.0,0.0,0.0,0.0
19.3384564936046,0.07,0.65,289.4444444444445,10.90363909095403,1.18,0.005,0.18,0.23,0.0,0.0,1.0,0.0,0.0,0.0
18.6085260335772,0.03,0.65,293.3333333333333,11.03417246524929,1.34,0.01,0.09,0.55,0.0,1.0,0.0,0.0,0.0,0.0
19.08278537031645,0.03,0.65,289.4444444444445,10.91466188281497,1.34,0.01,0.09,0.55,0.0,1.0,0.0,0.0,0.0,0.0
19.3384564936046,0.03,0.65,289.4444444444445,10.90363909095403,1.34,0.01,0.09,0.55,0.0,1.0,0.0,0.0,0.0,0.0
18.46538285144842,0.09,0.845,294.4444444444445,11.06894915322261,0.725,0.008,0.204,0.292,0.0,0.0,1.0,0.0,0.0,0.0
19.11727129565577,0.09,0.845,294.4444444444445,10.92123534596068,0.725,0.008,0.204,0.292,0.0,0.0,1.0,0.0,0.0,0.0
19.36361197989214,0.09,0.845,294.4444444444445,10.89678965896313,0.725,0.008,0.204,0.292,0.0,0.0,1.0,0.0,0.0,0.0
18.46538285144842,0.09,0.845,294.4444444444445,11.06894915322261,0.725,0.008,0.204,0.292,0.0,0.0,1.0,0.0,0.0,0.0
19.11727129565577,0.09,0.845,294.4444444444445,10.92123534596068,0.725,0.008,0.204,0.292,0.0,0.0,1.0,0.0,0.0,0.0
19.36361197989214,0.09,0.845,294.4444444444445,10.89678965896313,0.725,0.008,0.204,0.292,0.0,0.0,1.0,0.0,0.0,0.0
